user_id,Series_Title,rating
1,Rocky III,2.5
1,Greed,1.0
1,American Pie,4.0
1,My Tutor,2.0
1,Jay and Silent Bob Strike Back,2.0
1,Vivement dimanche!,2.5
2,The Dark,5.0
2,2001: A Space Odyssey,3.0
2,Trois couleurs : Rouge,4.0
2,Der Himmel über Berlin,3.0
2,48 Hrs.,5.0
2,Lost in Translation,4.0
2,Ocean's Eleven,3.0
2,Back to the Future Part II,3.0
2,Star Trek IV: The Voyage Home,3.0
2,A Clockwork Orange,3.0
2,Lucky Number Slevin,3.0
2,Berlin: Die Sinfonie der Grosstadt,5.0
2,Rebecca,1.0
2,Czlowiek z zelaza,3.0
2,Stand by Me,3.0
2,Pocketful of Miracles,3.0
2,Live and Let Die,4.0
2,Cat on a Hot Tin Roof,4.0
2,Lili Marleen,5.0
2,Le Mépris,5.0
2,Batman Begins,3.0
2,Das weisse Rauschen,4.0
2,Dave Chappelle's Block Party,3.0
2,Terminator 3: Rise of the Machines,4.0
2,La science des rêves,3.0
2,Catwoman,4.0
2,Grbavica,2.0
2,True Romance,1.0
2,Night on Earth,3.0
2,Crustacés et coquillages,4.0
2,The Devil Wears Prada,4.0
2,Batman Returns,3.0
2,A Nightmare on Elm Street,3.0
2,La strada,2.0
2,Sommer vorm Balkon,3.0
2,Romeo + Juliet,4.0
2,Sissi,3.0
2,My Own Private Idaho,4.0
2,Monsoon Wedding,4.0
2,The Green Mile,3.0
2,Reservoir Dogs,4.0
2,Love Actually,4.0
2,Notting Hill,4.0
2,Once Were Warriors,4.0
2,Je ne suis pas là pour être aimé,4.0
2,Psycho,3.0
2,Fight Club,3.0
2,The Poseidon Adventure,5.0
2,Pane e Tulipani,3.0
2,"Monsters, Inc.",5.0
2,Wag the Dog,3.0
2,Big Fish,3.0
2,Silent Hill,3.0
2,The Hours,5.0
2,The Conversation,5.0
2,Солярис,3.0
2,The Last Samurai,3.0
2,Die Ehe der Maria Braun,4.0
3,Trois couleurs : Rouge,4.0
3,The Killing,3.5
3,Carne trémula,3.0
3,Terminator 3: Rise of the Machines,4.5
3,The Million Dollar Hotel,5.0
3,A Nightmare on Elm Street,2.5
3,Once Were Warriors,3.0
3,Silent Hill,3.0
3,The Conversation,3.0
3,Солярис,3.0
3,To Kill a Mockingbird,2.0
3,Les Vacances de Monsieur Hulot,4.0
3,Finding Neverland,3.0
3,300,3.0
3,Shortbus,4.0
3,Rope,3.5
3,...Più forte ragazzi!,4.5
